"numero de elemento","elemento"
"1499","2499"
"1498","2498"
"1497","2494"
"1496","2493"
"1495","2493"
"1494","2492"
"1493","2491"
"1492","2481"
"1491","2480"
"1490","2478"
"1489","2478"
"1488","2478"
"1487","2476"
"1486","2475"
"1485","2475"
"1484","2473"
"1483","2470"
"1482","2469"
"1481","2468"
"1480","2468"
"1479","2466"
"1478","2466"
"1477","2465"
"1476","2461"
"1475","2461"
"1474","2460"
"1473","2459"
"1472","2455"
"1471","2455"
"1470","2454"
"1469","2453"
"1468","2453"
"1467","2450"
"1466","2447"
"1465","2445"
"1464","2442"
"1463","2442"
"1462","2439"
"1461","2437"
"1460","2436"
"1459","2432"
"1458","2430"
"1457","2430"
"1456","2423"
"1455","2420"
"1454","2420"
"1453","2418"
"1452","2415"
"1451","2410"
"1450","2409"
"1449","2408"
"1448","2408"
"1447","2404"
"1446","2403"
"1445","2401"
"1444","2399"
"1443","2398"
"1442","2396"
"1441","2396"
"1440","2394"
"1439","2392"
"1438","2390"
"1437","2385"
"1436","2385"
"1435","2384"
"1434","2384"
"1433","2379"
"1432","2376"
"1431","2375"
"1430","2375"
"1429","2373"
"1428","2372"
"1427","2371"
"1426","2364"
"1425","2360"
"1424","2360"
"1423","2359"
"1422","2359"
"1421","2358"
"1420","2357"
"1419","2352"
"1418","2352"
"1417","2351"
"1416","2350"
"1415","2349"
"1414","2349"
"1413","2348"
"1412","2347"
"1411","2347"
"1410","2346"
"1409","2344"
"1408","2344"
"1407","2339"
"1406","2337"
"1405","2334"
"1404","2334"
"1403","2333"
"1402","2333"
"1401","2332"
"1400","2330"
"1399","2327"
"1398","2327"
"1397","2323"
"1396","2323"
"1395","2321"
"1394","2320"
"1393","2319"
"1392","2318"
"1391","2318"
"1390","2315"
"1389","2312"
"1388","2312"
"1387","2311"
"1386","2307"
"1385","2307"
"1384","2307"
"1383","2306"
"1382","2305"
"1381","2305"
"1380","2303"
"1379","2303"
"1378","2302"
"1377","2301"
"1376","2298"
"1375","2297"
"1374","2296"
"1373","2295"
"1372","2291"
"1371","2290"
"1370","2289"
"1369","2287"
"1368","2284"
"1367","2283"
"1366","2281"
"1365","2280"
"1364","2277"
"1363","2276"
"1362","2275"
"1361","2274"
"1360","2273"
"1359","2273"
"1358","2272"
"1357","2271"
"1356","2267"
"1355","2265"
"1354","2264"
"1353","2261"
"1352","2260"
"1351","2257"
"1350","2254"
"1349","2253"
"1348","2252"
"1347","2251"
"1346","2248"
"1345","2242"
"1344","2241"
"1343","2241"
"1342","2237"
"1341","2235"
"1340","2235"
"1339","2232"
"1338","2231"
"1337","2230"
"1336","2228"
"1335","2228"
"1334","2228"
"1333","2227"
"1332","2224"
"1331","2223"
"1330","2222"
"1329","2220"
"1328","2216"
"1327","2214"
"1326","2213"
"1325","2213"
"1324","2212"
"1323","2210"
"1322","2208"
"1321","2207"
"1320","2207"
"1319","2205"
"1318","2203"
"1317","2202"
"1316","2202"
"1315","2200"
"1314","2200"
"1313","2199"
"1312","2199"
"1311","2197"
"1310","2196"
"1309","2194"
"1308","2192"
"1307","2192"
"1306","2192"
"1305","2190"
"1304","2190"
"1303","2188"
"1302","2187"
"1301","2186"
"1300","2186"
"1299","2184"
"1298","2183"
"1297","2182"
"1296","2182"
"1295","2180"
"1294","2178"
"1293","2176"
"1292","2174"
"1291","2174"
"1290","2173"
"1289","2172"
"1288","2170"
"1287","2168"
"1286","2167"
"1285","2167"
"1284","2166"
"1283","2164"
"1282","2163"
"1281","2162"
"1280","2161"
"1279","2161"
"1278","2156"
"1277","2155"
"1276","2152"
"1275","2152"
"1274","2149"
"1273","2148"
"1272","2146"
"1271","2144"
"1270","2141"
"1269","2135"
"1268","2132"
"1267","2131"
"1266","2130"
"1265","2126"
"1264","2126"
"1263","2124"
"1262","2123"
"1261","2123"
"1260","2122"
"1259","2119"
"1258","2119"
"1257","2115"
"1256","2113"
"1255","2112"
