"numero de elemento","elemento"
"0","1881"
"1","677"
"2","2126"
"3","610"
"4","1821"
"5","1615"
"6","1770"
"7","140"
"8","2697"
"9","2821"
"10","80"
"11","858"
"12","2013"
"13","1361"
"14","1048"
"15","594"
"16","1025"
"17","457"
"18","857"
"19","2377"
"20","796"
"21","1496"
"22","315"
"23","1766"
"24","2751"
"25","2017"
"26","1225"
"27","774"
"28","863"
"29","367"
"30","2923"
"31","931"
"32","361"
"33","1763"
"34","2194"
"35","1641"
"36","1280"
"37","370"
"38","420"
"39","167"
"40","1267"
"41","1666"
"42","1327"
"43","2662"
"44","2018"
"45","882"
"46","194"
"47","2394"
"48","422"
"49","379"
"50","919"
"51","825"
"52","1032"
"53","1903"
"54","1941"
"55","2028"
"56","921"
"57","1933"
"58","2362"
"59","714"
"60","1241"
"61","589"
"62","2782"
"63","356"
"64","1428"
"65","142"
"66","2778"
"67","1272"
"68","2462"
"69","2105"
"70","2231"
"71","2877"
"72","63"
"73","2394"
"74","1644"
"75","887"
"76","2426"
"77","2091"
"78","223"
"79","1496"
"80","127"
"81","2477"
"82","476"
"83","900"
"84","2129"
"85","588"
"86","851"
"87","2615"
"88","25"
"89","5"
"90","156"
"91","1317"
"92","1057"
"93","551"
"94","78"
"95","1429"
"96","1501"
"97","1795"
"98","532"
"99","1107"
"100","291"
"101","2617"
"102","1001"
"103","2072"
"104","2707"
"105","1688"
"106","595"
"107","585"
"108","1954"
"109","2986"
"110","2186"
"111","1025"
"112","1449"
"113","154"
"114","244"
"115","1852"
"116","2354"
"117","2771"
"118","1001"
"119","1449"
"120","2570"
"121","1486"
"122","2057"
"123","306"
"124","482"
"125","1247"
"126","262"
"127","107"
"128","1279"
"129","1605"
"130","92"
"131","637"
"132","2642"
"133","2788"
"134","2244"
"135","2182"
"136","1450"
"137","2369"
"138","1400"
"139","1567"
"140","2933"
"141","2321"
"142","1809"
"143","1514"
"144","70"
"145","334"
"146","244"
"147","477"
"148","712"
"149","2007"
"150","2235"
"151","1727"
"152","1472"
"153","1947"
"154","1335"
"155","678"
"156","984"
"157","1090"
"158","91"
"159","59"
"160","1536"
"161","2800"
"162","508"
"163","2499"
"164","2855"
"165","2943"
"166","2837"
"167","1658"
"168","224"
"169","1344"
"170","1744"
"171","550"
"172","2224"
"173","629"
"174","150"
"175","1021"
"176","539"
"177","198"
"178","727"
"179","965"
"180","782"
"181","2134"
"182","1132"
"183","1638"
"184","2943"
"185","2705"
"186","2697"
"187","2197"
"188","416"
"189","972"
"190","2577"
"191","2808"
"192","2643"
"193","801"
"194","1370"
"195","2433"
"196","304"
"197","1070"
"198","48"
"199","1073"
"200","529"
"201","969"
"202","1485"
"203","282"
"204","1806"
"205","2498"
"206","1006"
"207","2712"
"208","532"
"209","2181"
"210","113"
"211","1597"
"212","1121"
"213","626"
"214","1050"
"215","57"
"216","483"
"217","843"
"218","2252"
"219","2083"
"220","1342"
"221","1689"
"222","1124"
"223","134"
"224","84"
"225","2763"
"226","2122"
"227","658"
"228","374"
"229","21"
"230","873"
"231","973"
"232","465"
"233","1425"
"234","1678"
"235","958"
"236","1132"
"237","1940"
"238","533"
"239","934"
"240","2590"
"241","2991"
"242","1742"
"243","1732"
"244","804"
"245","2401"
"246","1895"
"247","1084"
"248","2520"
"249","1829"
"250","1219"
"251","1899"
"252","1205"
"253","2533"
"254","1320"
"255","1001"
"256","815"
"257","1291"
"258","2534"
"259","1491"
"260","383"
"261","2528"
"262","1467"
"263","1507"
"264","2660"
"265","1499"
"266","1428"
"267","2679"
"268","1917"
"269","967"
"270","1014"
"271","1756"
"272","739"
"273","241"
"274","875"
"275","2036"
"276","1236"
"277","1733"
"278","1039"
"279","2611"
"280","1970"
"281","1436"
"282","1330"
"283","1393"
"284","2274"
"285","892"
"286","2560"
"287","1445"
"288","312"
"289","2732"
"290","268"
"291","1375"
"292","439"
"293","1786"
"294","1292"
"295","1680"
"296","1102"
"297","1924"
"298","1421"
"299","249"
"300","2806"
"301","2071"
"302","1150"
"303","1892"
"304","1481"
"305","447"
"306","2915"
"307","1354"
"308","2805"
"309","435"
"310","1320"
"311","1026"
"312","853"
"313","1548"
"314","109"
"315","483"
"316","1128"
"317","2370"
"318","1977"
"319","2062"
"320","1298"
"321","2403"
"322","2639"
"323","971"
"324","585"
"325","2913"
"326","1478"
"327","23"
"328","1051"
"329","695"
"330","1748"
"331","2087"
"332","139"
"333","744"
"334","2378"
"335","499"
"336","2362"
"337","699"
"338","530"
"339","1482"
"340","450"
"341","2279"
"342","172"
"343","2893"
"344","1901"
"345","31"
"346","1009"
"347","2299"
"348","388"
"349","1915"
"350","2847"
"351","2497"
"352","1979"
"353","2043"
"354","1771"
"355","547"
"356","1714"
"357","967"
"358","485"
"359","380"
"360","207"
"361","664"
"362","229"
"363","358"
"364","2223"
"365","1661"
"366","1227"
"367","62"
"368","323"
"369","2243"
"370","1588"
"371","2567"
"372","1431"
"373","1141"
"374","2969"
"375","2473"
"376","1206"
"377","739"
"378","481"
"379","214"
"380","2465"
"381","2466"
"382","2414"
"383","2601"
"384","542"
"385","2792"
"386","2605"
"387","19"
"388","2829"
"389","2202"
"390","815"
"391","2683"
"392","2774"
"393","1340"
"394","397"
"395","2265"
"396","2950"
"397","1556"
"398","16"
"399","2736"
"400","1225"
"401","2835"
"402","1862"
"403","422"
"404","897"
"405","2745"
"406","1265"
"407","1681"
"408","2044"
"409","1628"
"410","2273"
"411","2631"
"412","2260"
"413","557"
"414","1138"
"415","1946"
"416","2519"
"417","2807"
"418","1400"
"419","1166"
"420","2599"
"421","116"
"422","118"
"423","432"
"424","1668"
"425","846"
"426","1431"
"427","1102"
"428","861"
"429","1751"
"430","51"
"431","1437"
"432","1086"
"433","1246"
"434","2915"
"435","2162"
"436","1524"
"437","2367"
"438","2768"
"439","1369"
"440","2923"
"441","1245"
"442","1406"
"443","1331"
"444","2992"
"445","1486"
"446","190"
"447","176"
"448","475"
"449","1803"
"450","1040"
"451","1273"
"452","2555"
"453","554"
"454","959"
"455","2352"
"456","1214"
"457","443"
"458","943"
"459","1406"
"460","312"
"461","91"
"462","2746"
"463","2201"
"464","1328"
"465","2608"
"466","335"
"467","2648"
"468","2787"
"469","1786"
"470","1164"
"471","2045"
"472","88"
"473","1506"
"474","2090"
"475","2486"
"476","2922"
"477","2858"
"478","2359"
"479","1191"
"480","2788"
"481","17"
"482","1722"
"483","407"
"484","286"
"485","553"
"486","2678"
"487","917"
"488","1094"
"489","1558"
"490","2121"
"491","1696"
"492","34"
"493","717"
"494","487"
"495","1768"
"496","666"
"497","958"
"498","1447"
"499","68"
"500","1306"
"501","368"
"502","2951"
"503","433"
"504","781"
"505","2728"
"506","1275"
"507","1563"
"508","445"
"509","469"
"510","1921"
"511","2283"
"512","2823"
"513","1259"
"514","1256"
"515","1534"
"516","2108"
"517","1763"
"518","1143"
"519","1061"
"520","145"
"521","2027"
"522","1074"
"523","2358"
"524","152"
"525","2159"
"526","302"
"527","1551"
"528","191"
"529","1451"
"530","846"
"531","914"
"532","1047"
"533","1219"
"534","1550"
"535","1305"
"536","1911"
"537","2538"
"538","2765"
"539","1847"
"540","1486"
"541","836"
"542","1736"
"543","697"
"544","2488"
"545","2448"
"546","56"
"547","1335"
"548","1544"
"549","389"
"550","421"
"551","2635"
"552","2699"
"553","2495"
"554","421"
"555","1133"
"556","1533"
"557","1710"
"558","1805"
"559","472"
"560","1333"
"561","2652"
"562","48"
"563","397"
"564","899"
"565","1185"
"566","2957"
"567","2210"
"568","1882"
"569","621"
"570","2442"
"571","1734"
"572","2729"
"573","145"
"574","1311"
"575","1547"
"576","883"
"577","1706"
"578","2326"
"579","2801"
"580","750"
"581","218"
"582","1990"
"583","2107"
"584","1361"
"585","1077"
"586","606"
"587","2096"
"588","2062"
"589","166"
"590","2462"
"591","2841"
"592","943"
"593","1380"
"594","1034"
"595","1666"
"596","2348"
"597","676"
"598","240"
"599","2118"
"600","1827"
"601","1356"
"602","2664"
"603","2699"
"604","1513"
"605","368"
"606","627"
"607","463"
"608","636"
"609","701"
"610","44"
"611","2462"
"612","2003"
"613","2888"
"614","2340"
"615","425"
"616","2741"
"617","1890"
"618","2642"
"619","61"
"620","782"
"621","2363"
"622","1966"
"623","2445"
"624","2392"
"625","871"
"626","1366"
"627","2700"
"628","1574"
"629","1577"
"630","306"
"631","1675"
"632","2596"
"633","219"
"634","2162"
"635","1043"
"636","1850"
"637","2391"
"638","2448"
"639","2528"
"640","2439"
"641","2261"
"642","104"
"643","2227"
"644","1875"
"645","242"
"646","2348"
"647","298"
"648","2980"
"649","1617"
"650","923"
"651","181"
"652","1962"
"653","457"
"654","2353"
"655","2680"
"656","134"
"657","370"
"658","2914"
"659","824"
"660","1821"
"661","636"
"662","920"
"663","716"
"664","2970"
"665","375"
"666","637"
"667","2418"
"668","345"
"669","649"
"670","226"
"671","762"
"672","2457"
"673","2223"
"674","181"
"675","2739"
"676","1009"
"677","907"
"678","2281"
"679","104"
"680","227"
"681","518"
"682","2479"
"683","1687"
"684","197"
"685","1163"
"686","1739"
"687","2846"
"688","2340"
"689","920"
"690","274"
"691","2138"
"692","851"
"693","1985"
"694","918"
"695","1869"
"696","162"
"697","2451"
"698","2524"
"699","907"
"700","2122"
"701","2786"
"702","2957"
"703","90"
"704","1580"
"705","1447"
"706","872"
"707","1571"
"708","361"
"709","1633"
"710","1865"
"711","2817"
"712","140"
"713","2070"
"714","2754"
"715","2349"
"716","916"
"717","1503"
"718","1103"
"719","531"
"720","1766"
"721","1590"
"722","2720"
"723","749"
"724","1839"
"725","1148"
"726","576"
"727","2411"
"728","2478"
"729","843"
"730","2971"
"731","1707"
"732","1472"
"733","357"
"734","2220"
"735","1194"
"736","781"
"737","1824"
"738","1507"
"739","2591"
"740","2784"
"741","598"
"742","2742"
"743","1256"
"744","821"
"745","1045"
"746","1951"
"747","2892"
"748","1626"
"749","1279"
"750","2395"
"751","1628"
"752","752"
"753","2191"
"754","754"
"755","2262"
"756","227"
"757","529"
"758","2514"
"759","2272"
"760","508"
"761","1388"
"762","694"
"763","2710"
"764","1160"
"765","536"
"766","2820"
"767","2328"
"768","737"
"769","1454"
"770","1884"
"771","1922"
"772","1090"
"773","2952"
"774","2589"
"775","2705"
"776","944"
"777","1165"
"778","1729"
"779","1791"
"780","972"
"781","2881"
"782","2921"
"783","748"
"784","1573"
"785","1895"
"786","2707"
"787","489"
"788","27"
"789","980"
"790","639"
"791","1714"
"792","1646"
"793","1098"
"794","2930"
"795","2575"
"796","1037"
"797","229"
"798","17"
"799","542"
"800","2362"
"801","1869"
"802","2671"
"803","969"
"804","2866"
"805","209"
"806","2921"
"807","48"
"808","2139"
"809","204"
"810","2055"
"811","251"
"812","830"
"813","1759"
"814","1005"
"815","1903"
"816","2915"
"817","1883"
"818","2168"
"819","1066"
"820","2740"
"821","1201"
"822","868"
"823","1907"
"824","1090"
"825","544"
"826","81"
"827","2467"
"828","611"
"829","553"
"830","2007"
"831","1874"
"832","1566"
"833","1554"
"834","1134"
"835","440"
"836","1533"
"837","822"
"838","2720"
"839","2193"
"840","864"
"841","2174"
"842","2746"
"843","924"
"844","2507"
"845","1286"
"846","917"
"847","936"
"848","2469"
"849","2294"
"850","2411"
"851","1812"
"852","113"
"853","1627"
"854","2701"
"855","1017"
"856","2930"
"857","378"
"858","2538"
"859","1277"
"860","2504"
"861","1648"
"862","585"
"863","2359"
"864","1855"
"865","1681"
"866","1439"
"867","2027"
"868","2334"
"869","19"
"870","2580"
"871","793"
"872","1717"
"873","1030"
"874","944"
"875","1270"
"876","391"
"877","1530"
"878","1019"
"879","1350"
"880","1951"
"881","1805"
"882","778"
"883","2179"
"884","231"
"885","2392"
"886","2518"
"887","1655"
"888","124"
"889","2964"
"890","1814"
"891","1459"
"892","1277"
"893","2566"
"894","468"
"895","594"
"896","2979"
"897","1845"
"898","1373"
"899","2197"
"900","1090"
"901","2220"
"902","1386"
"903","1011"
"904","1516"
"905","288"
"906","700"
"907","2548"
"908","239"
"909","2871"
"910","2364"
"911","1930"
"912","413"
"913","2267"
"914","2689"
"915","2797"
"916","1866"
"917","1530"
"918","434"
"919","1481"
"920","691"
"921","2555"
"922","2699"
"923","1639"
"924","161"
"925","207"
"926","2796"
"927","1589"
"928","900"
"929","2554"
"930","1589"
"931","1234"
"932","68"
"933","1965"
"934","1566"
"935","586"
"936","1539"
"937","801"
"938","2410"
"939","2690"
"940","2431"
"941","2073"
"942","2268"
"943","2593"
"944","563"
"945","268"
"946","730"
"947","1452"
"948","733"
"949","150"
"950","1006"
"951","2772"
"952","250"
"953","2651"
"954","724"
"955","2661"
"956","2014"
"957","903"
"958","2293"
"959","1006"
"960","1032"
"961","1773"
"962","1161"
"963","688"
"964","265"
"965","657"
"966","868"
"967","1892"
"968","2349"
"969","2740"
"970","1911"
"971","382"
"972","1754"
"973","548"
"974","1103"
"975","1624"
"976","2677"
"977","701"
"978","147"
"979","1580"
"980","1365"
"981","256"
"982","2478"
"983","1242"
"984","2551"
"985","2831"
"986","2045"
"987","2706"
"988","312"
"989","1066"
"990","2147"
"991","31"
"992","2577"
"993","1569"
"994","2591"
"995","881"
"996","2916"
"997","342"
"998","311"
"999","1748"
"1000","125"
"1001","797"
"1002","822"
"1003","498"
